SAL,SAL 2021 Name,POA 2021 Code
10237,Bayview (NSW),2104
10238,Beacon Hill,2100
10239,Beaconsfield (NSW),2015
10240,Bean Creek,2469
10241,Bearbong,2827
10242,Beaumont (NSW),2577
10243,Beaumont Hills,2155
10244,Beckom,2665
10245,Bective,2340
10246,Bectric,2665
10247,Bedgerabong,2871
10248,Beechwood,2446
10249,Beecroft,2119
10250,Beecroft Peninsula,2540
10251,Beelbangera,2680
10252,Beemunnel,2824
10253,Bega,2550
10254,Beggan Beggan,2587
10255,Belanglo,2577
10256,Belbora,2422
10257,Belfield,2191
10258,Belford,2335
10259,Belfrayden,2650
10260,Belgravia,2800
10261,Belimbla Park,2570
10262,Bell (NSW),2786
10263,Bella Vista,2153
10264,Bellambi,2518
10265,Bellangry,2446
10266,Bellata,2397
10267,Bellawongarah,2535
10268,Bellbird,2325
10269,Bellbird Heights,2325
10270,Bellbrook,2440
10271,Bellevue Hill,2023
10272,Bellimbopinni,2440
10273,Bellingen,2454
10274,Bellmount Forest,2581
10275,Belltrees,2337
10276,Belmont (NSW),2280
10277,Belmont North,2280
10278,Belmont South,2280
10279,Belmore,2192
10280,Belmore River,2440
10281,Beloka,2628
10282,Belowra,2545
10283,Belrose,2085
10284,Bemboka,2550
10285,Ben Bullen,2790
10286,Ben Lomond (NSW),2365
10287,Benandarah,2536
10288,Bendalong,2539
10289,Bendemeer,2355
10290,Bendick Murrell,2803
10291,Bendolba,2420
10292,Bendoura,2622
10293,Benerembah,2680
10294,Bengalla,2333
10295,Bennetts Green,2290
10296,Benolong,2818
10297,Bensville,2251
10298,Bentley (NSW),2480
10299,Berala,2141
10300,Berambing,2758
10301,Beresfield,2322
10302,Bergalia,2537
10303,Berkeley,2506
10304,Berkeley Vale,2261
10305,Berkshire Park,2765
10306,Berlang,2622
10307,Bermagui,2546
10308,Berowra,2081
10309,Berowra Heights,2082
10310,Berowra Waters,2082
10311,Berrambool,2548
10312,Berrara,2540
10313,Berremangra,2582
10314,Berrico,2422
10315,Berridale,2628
10316,Berrigal,2390
10317,Berrigan,2712
10318,Berrilee,2159
10319,Berrima,2577
10320,Berringer Lake,2539
10321,Berry,2535
10322,Berry Jerry,2701
10323,Berry Mountain,2535
10324,Berry Park,2321
10325,Berthong,2594
10326,Beryl,2852
10327,Bethungra,2590
10328,Bevendale,2581
10329,Beverley Park,2217
10330,Beverly Hills,2209
10331,Bewong,2540
10332,Bexhill,2480
10333,Bexley,2207
10334,Bexley North,2207
10335,Biala,2581
10336,Bibbenluke,2632
10337,Biddon,2827
10338,Bidgeemia,2642
10339,Bidwill (NSW),2770
10340,Bielsdown Hills,2453
10341,Big Hill (NSW),2579
10342,Big Jacks Creek,2339
10343,Big Ridge,2330
10344,Big Springs,2650
10345,Bigga,2583
10346,Bilambil,2486
10347,Bilambil Heights,2486
10348,Bilbul,2680
10349,Bilgola Beach,2107
10350,Bilgola Plateau,2107
10351,Billeroy,2829
10352,Billilingra,2630
10353,Billimari,2804
10354,Billinudgel,2483
10355,Billys Creek,2453
10356,Billywillinga,2795
10357,Bilpin,2758
10358,Bimberi,2611
10359,Bimbi,2810
10360,Bimbimbie,2536
10361,Binalong,2584
10362,Binda,2583
10363,Bindera,2422
10364,Bingara,2404
10365,Bingeebeebra Creek,2469
10366,Bingie,2537
10367,Bingleburra,2311
10368,Biniguy,2399
10369,Binjura,2630
10370,Binna Burra (NSW),2479
10371,Binnaway,2395
10372,Binya,2665
10373,Birchgrove,2041
10374,Birdwood (NSW),2446
10375,Birganbigil,2710
10376,Birmingham Gardens,2287
10377,Birriwa,2844
10378,Birrong,2143
10379,Bishops Bridge,2326
10380,Bithramere,2340
10381,Black Creek (Port Macquarie-Hastings - NSW),2439
10382,Black Creek (Snowy Valleys - NSW),2729
10383,Black Head,2430
10384,Black Hill (NSW),2322
10385,Black Hollow,2828
10386,Black Mountain (NSW),2365
10387,Black Range (NSW),2550
10388,Black Springs (NSW),2787
10389,Blackalls Park,2283
10390,Blackbutt (NSW),2529
10391,Blackett,2770
10392,Blackheath,2785
10393,Blackmans Flat,2790
10394,Blackmans Point,2444
10395,Blacksmiths,2281
10396,Blacktown,2148
10397,Blackville,2343
10398,Blackwall (NSW),2256
10399,Blair Athol (NSW),2560
10400,Blairmount,2559
10401,Blakebrook,2480
10402,Blakehurst,2221
10403,Blakney Creek,2581
10404,Bland,2721
10405,Blandford,2338
10406,Blaxland (NSW),2774
10407,Blaxlands Creek,2460
10408,Blaxlands Ridge,2758
10409,Blayney,2799
10410,Bligh Park,2756
10411,Blighty,2713
10412,Blowering,2720
10413,Blue Bay,2261
10414,Blue Haven,2262
10415,Blue Knob,2480
10416,Blue Mountains National Park,2787
10417,Blue Nobby,2408
10418,Blue Vale,2380
10419,Blueys Beach,2428
10420,Boambee,2450
10421,Boambee East,2452
10422,Boambolo,2582
10423,Boat Harbour (Lismore - NSW),2480
10424,Boat Harbour (Port Stephens - NSW),2316
10425,Bobadah,2877
10426,Bobin,2429
10427,Bobs Creek,2439
10428,Bobs Farm,2316
10429,Bobundara,2630
10430,Boco,2631
10431,Bocoble,2850
10432,Bocobra,2865
10433,Bodalla,2545
10434,Bodangora,2820
10435,Boeill Creek,2739
10436,Bogan,2826
10437,Bogan Gate,2876
10438,Bogangar,2488
10439,Bogee,2849
10440,Boggabilla,2409
10441,Boggabri,2382
10442,Bogong Peaks Wilderness,2720
10443,Bohena Creek,2390
10444,Bohnock,2430
10445,Bolaro,2629
10446,Bolivia,2372
10447,Bolong,2540
10448,Bolton Point,2283
10449,Bolwarra (NSW),2320
10450,Bolwarra Heights,2320
10451,Bom Bom,2460
10452,Bomaderry,2541
10453,Bombah Point,2423
10454,Bombala,2632
10455,Bombay,2622
10456,Bombira,2850
10457,Bombo,2533
10458,Bombowlee,2720
10459,Bombowlee Creek,2720
10460,Bomen,2650
10461,Bonalbo,2469
10462,Bondi,2026
10463,Bondi Beach,2026
10464,Bondi Forest,2632
10465,Bondi Junction,2022
10466,Bonnells Bay,2264
10467,Bonnet Bay,2226
10468,Bonny Hills,2445
10469,Bonnyrigg,2177
10470,Bonnyrigg Heights,2177
10471,Bonshaw (NSW),2361
10472,Bonville,2450
10473,Booerie Creek,2480
10474,Book Book,2650
10475,Booker Bay,2257
10476,Bookham,2582
10477,Bookookoorara,2372
10478,Bookram,2460
10479,Boolambayte,2423
10480,Boolaroo,2284
10481,Boolcarroll,2388
10482,Booligal,2711
10483,Boolijah,2540
10484,Boomanoomana,2712
10485,Boomerang Beach,2428
10486,Boomey,2866
10487,Boomi,2405
10488,Boomi Creek,2476
10489,Boona Mount,2877
10490,Boonal,2409
10491,Boonoo Boonoo,2372
10492,Boorabee Park,2480
10493,Booragul,2284
10494,Booral (NSW),2425
10495,Boorga,2652
10496,Boorganna,2429
10497,Boorolong,2350
10498,Boorook,2372
10499,Boorooma,2650
10500,Booroorban,2710
10501,Boorowa,2586
10502,Bootawa,2430
10503,Booti Booti,2428
10504,Booyong,2480
10505,Bora Ridge,2471
10506,Borah Creek,2346
10507,Borambola,2650
10508,Border Ranges,2474
10509,Boree,2800
10510,Boree Creek,2652
10511,Borenore,2800
10512,Boro,2622
10513,Bossley Park,2176
10514,Bostobrick,2453
10515,Botany,2019
10516,Botobolar,2850
10517,Bottle Creek,2469
10518,Bouddi,2257
10519,Bourbah,2828
10520,Bourke,2840
10521,Bourkelands,2650
10522,Bournda,2548
10523,Bournewood,2868
10524,Bow Bowing,2566
10525,Bowan Park,2864
10526,Bowen Mountain,2753
10527,Bowenfels,2790
10528,Bowling Alley Point,2340
10529,Bowman,2422
10530,Bowman Farm,2422
10531,Bowmans Creek,2330
10532,Bowna,2644
10533,Bowning,2582
10534,Bowral,2576
10535,Bowraville,2449
10536,Box Head,2257
10537,Box Hill (NSW),2765
10538,Boxers Creek,2580
10539,Boydtown,2551
10540,Bradbury (NSW),2560
10541,Braefield,2339
10542,Braemar,2575
10543,Braemar Bay,2628
10544,Braidwood,2622
10545,Brandy Hill,2324
10546,Branxton,2335
10547,Braunstone,2460
10548,Brawboy,2337
10549,Bray Park (NSW),2484
10550,Brays Creek,2484
10551,Brayton,2579
10552,Breadalbane (NSW),2581
10553,Breakfast Creek,2849
10554,Breakfast Point,2137
10555,Bream Beach,2540
10556,Bredbo,2626
10557,Breelong,2827
10558,Breeza,2381
10559,Bretti,2422
10560,Brewarrina,2839
10561,Brewongle,2795
10562,Briarbrook,2365
10563,Bribbaree,2594
10564,Bridgman,2330
10565,Brierfield,2454
10566,Brighton-Le-Sands,2216
10567,Brightwaters,2264
10568,Bril Bril,2441
10569,Brimbin,2430
10570,Brindabella,2611
10571,Brinerville,2454
10572,Bringelly,2556
10573,Bringenbrong,3707
10574,Brisbane Grove,2580
10575,Broadmeadow,2292
10576,Broadwater (Bega Valley - NSW),2549
10577,Broadwater (Richmond Valley - NSW),2472
10578,Broadway,2581
10579,Brobenah,2705
10580,Brocklehurst,2830
10581,Brocklesby,2642
10582,Brockley,2365
10583,Brodies Plains,2360
10584,Brogans Creek,2848
10585,Brogers Creek,2535
10586,Brogo,2550
10587,Broke (NSW),2330
10588,Broken Head,2481
10589,Broken Hill,2880
10590,Brombin,2446
10591,Bronte,2024
10592,Brookdale (NSW),2656
10593,Brookfield (NSW),2420
10594,Brooklana,2450
10595,Brooklet,2479
10596,Brooklyn (NSW),2083
10597,Brookong,2656
10598,Brookvale,2100
10599,Brooman,2538
10600,Brooms Head,2463
10601,Broughams Gate,2880
10602,Broughton (NSW),2535
10603,Broughton Vale,2535
10604,Broughton Village,2534
10605,Broulee,2537
10606,Brownlow Hill,2570
10607,Browns Creek,2799
10608,Browns Mountain,2540
10609,Brownsville,2530
10610,Brucedale,2650
